Codigo,Gasto,Categoria
CI1.01.01,JEFE DE GRUPO,INDEFINIDO
CI1.01.02,JEFE DE OBRA,INDEFINIDO
CI1.01.03,JEFE DE OBRA (ESTUDIO PROY),INDEFINIDO
CI1.01.04,ENCARGADO,INDEFINIDO
CI1.01.08,JEFE PRODUCCIÓN,INDEFINIDO
CI1.01.06,ADMINISTRATIVO,INDEFINIDO
CI1.01.07,TOPOGRAFIA,INDEFINIDO
CI1.01.10,OFICIAL,INDEFINIDO
CI1.01.05,CAPATAZ,INDEFINIDO
CI1.01.12,PEÓN APOYO,INDEFINIDO
CI1.01.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CI1.01.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI1.03P09,VEHICULOS,VIGILANTE SEGURIDAD
CI1.03A.06,GRUPO ELECTRÓGENO,ANDAMIOS/PLATAFORMAS
CI1.03A.07,MAQUINA MIXTA,CONTENEDORES
CI1.03P05,ALQUILER MAQUINARIA,CONTENEDORES
CI1.03P010,ALQUILER MAQUINARIA,CONTENEDORES
CI1.03A.05,ALQUILER MAQUINARIA,CONTENEDORES
CI1.03A.10,ALQUILER MAQUINARIA,CONTENEDORES
CI1.04.01,AGUA,COMBUSTIBLES
CI1.04.02,ELECTRICIDAD,COMBUSTIBLES
CI1.04.03,CAJA DE OBRA,COMBUSTIBLES
CI1.04.15,REPROGRAFÍA/PAPELERIA,COMBUSTIBLES
CI1.04.06,RESTO CONSUMOS,COMBUSTIBLES
CI1.04.08,RESTO CONSUMOS,COMBUSTIBLES
CI1.04.05,FERRETERIA,COMBUSTIBLES
CI1.04.13,FERRETERIA,COMBUSTIBLES
CI1.04.14,FERRETERIA,COMBUSTIBLES
CI1.04.18,SANCION ROTURA CYII,COMBUSTIBLES
CI1.06.06,TASAS,COMBUSTIBLES
