Codigo,Gasto,Categoria
CI0.01.01,JEFE DE GRUPO,INDEFINIDO
CI0.01.02,JEFE DE OBRA,INDEFINIDO
CI0.01.03,ENCARGADO,INDEFINIDO
CI0.01.04,ADMINISTRATIVO,INDEFINIDO
CI0.01.05,TOPOGRAFIA,INDEFINIDO
CI0.01.07,CAPATAZ,INDEFINIDO
CI0.01.08,OFICIAL APOYO,INDEFINIDO
CI0.01.09,TECNICO PREVENCION,MAQUINISTA
CI0.01.10,INGENIERO INSTALACIONES,MAQUINISTA
CI0.01.11,TECNICO POSTVENTA,MAQUINISTA
CI0.02.01,VALLADO PROVISIONAL,MAQUINISTA
CI0.02.02,CASETAS,MAQUINISTA
CI0.02.05,ACOMETIDAS/INST PROV,MAQUINISTA
CI0.02.,ACOMETIDAS/INST PROV,MAQUINISTA
CI0.02.10,GASTOS ESTABLECIMIENTO,MAQUINISTA
CI0.03.01.01,VEHICULOS,MAQUINISTA
CI0.03.02.01,ANDAMIOS/PLATAFORMAS,MAQUINISTA
CI0.03.02.02,ALQUILER MAQUINARIA,CAMIÓN GRUA
CI0.04.01,COMBUSTIBLES,MEDIOS AUXILIARES
CI0.04.02,AGUA,MEDIOS AUXILIARES
CI0.04.03,ELECTRICIDAD,MEDIOS AUXILIARES
CI0.04.06,CAJA DE OBRA,MEDIOS AUXILIARES
CI0.04.04,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI0.04.,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI0.04.07,FERRETERIA,REPROGRAFÍA/PAPELERIA
CI0.06.01,TASAS OCUPACIÓN Y VEHICULO,PALETS
CI0.05.01,NOTARIA,PALETS
